species,dd long,dd lat
Btrigonus,7207,1
Btrigonus,7208,1
Btrigonus,7209,1
Btrigonus,7211,1
Btrigonus,7212,1
Btrigonus,7213,1
Btrigonus,7214,1
Btrigonus,7215,1
Btrigonus,7216,1
Btrigonus,7217,1
Btrigonus,7218,1
Btrigonus,7219,1
Btrigonus,7433,1
Btrigonus,7436,1
Btrigonus,7437,1
Btrigonus,7438,1
Btrigonus,7439,1
Btrigonus,7440,1
Btrigonus,7441,1
Btrigonus,7442,1
Btrigonus,7443,1
Btrigonus,7444,1
Btrigonus,7445,1
Btrigonus,7446,1
Btrigonus,7447,1
Btrigonus,7448,1
Btrigonus,7449,1
Btrigonus,7450,1
Btrigonus,7451,1
Btrigonus,7452,1
Btrigonus,7453,1
Btrigonus,7454,1
Btrigonus,7455,1
Btrigonus,7456,1
Btrigonus,7457,1
Btrigonus,7458,1
Btrigonus,7459,1
Btrigonus,7460,1
Btrigonus,7461,1
Btrigonus,7462,1
Btrigonus,7463,1
Btrigonus,7464,1
Btrigonus,7465,1
Btrigonus,7466,1
Btrigonus,7467,1
Btrigonus,7468,1
Btrigonus,7469,1
Btrigonus,7470,1
Btrigonus,7471,1
Btrigonus,7472,1
Btrigonus,7473,1
Btrigonus,7474,1
Btrigonus,7475,1
Btrigonus,7476,1
Btrigonus,7477,1
Btrigonus,7478,1
Btrigonus,7479,1
Btrigonus,7480,1
